black_BCAR1	blue_FKBP10	brown_TUBB4B	cyan_GJA4	darkgreen_CBSL	darkgrey_RAB11A	darkmagenta_SLC25A12	darkolivegreen_XPOT	darkorange_SORT1	darkred_TNFRSF10D	darkturquoise_BNIP2	green_APLN	greenyellow_PDLIM7	grey60_SELENOF	lightcyan_MYSM1	lightgreen_CD9	lightyellow_GLCE	magenta_TWF1	mediumpurple3_NECTIN2	midnightblue_SEMA3G	orange_TMEM123	orangered4_CSDE1	paleturquoise_FLNA	pink_SEC23A	plum1_NFKB2	purple_SAMHD1	red_TFPI	royalblue_PPP1CB	saddlebrown_RPN2	salmon_PNPLA6	sienna3_CTSS	skyblue3_AXIN1	skyblue_CBX5	steelblue_HECTD1	tan_TAP2	turquoise_AURKA	violet_CRIP2	white_HSF1	yellow_ACTR3	yellowgreen_FLNC
41.56511	172.529216	395.718231	6.026172	10.12443	21.441538	5.360258	27.723861	11.710031	67.095474	13.708709	23.807518	103.246879	45.58409	6.329807	107.894328	14.164260999999998	45.021611	55.850105000000006	5.218441	52.622234	162.088776	369.554505	62.791458	9.122501	7.0915	54.733263	28.972521	129.883653	26.363159000000003	0.693629	7.942537	25.295261	22.562418	8.894654	27.936149	78.586116	31.827716	52.413321	94.458726
40.319791	172.743341	370.44455	5.885748	10.001578	21.224483	5.690576	29.296041	11.516879	67.09255999999999	14.461001	23.656109	101.195661	48.744087	6.976878	107.230707	13.872144	47.924453	54.938194	4.88207	58.13834	162.647215	362.784607	67.071016	10.086524	6.882572	58.700349	31.442775	124.497984	27.868207	0.704198	7.986121000000001	25.817288	23.373989	8.699871	27.144425	73.623065	30.325739	54.191341	93.28825
43.169384	173.37488000000002	357.476044	5.454317	10.02523	21.825898	5.547879	30.407892	12.275304	67.500687	15.214845	30.625755	108.919573	51.240846000000005	7.072609	110.63149	14.885929	50.453391	57.392056	5.209437	61.381199	169.44493400000002	358.433502	68.803265	9.573523	6.665854	58.891911	32.526628	128.50698	27.09735	0.602852	8.433482000000001	25.574182	22.99424	9.400306	30.166113	79.893213	32.293469	57.74910500000001	94.222636
42.686253	175.357932	364.671509	6.924204	10.047559	21.732197	5.887361	28.896981	11.124501	69.4608	13.82392	29.475483	111.950996	51.916349	6.720258	112.655128	15.640577	47.538461	56.924034	5.019694	60.62646899999999	162.114328	362.250168	65.526888	10.479517	6.588824000000001	57.988737	30.202908	129.826566	27.698893	0.5886819999999999	8.193358	24.799191	22.315085	9.061934	27.816637	79.372562	32.890759	54.117861	92.046964
40.497714	171.83884	372.2948	5.656548	10.079593	21.805099	6.188526	30.142877	12.597722	67.895477	14.969661	33.391987	105.981938	50.678913	7.554009	128.963006	16.078266	49.887613	60.53276	5.578532	60.443439	164.851602	376.94191	69.305881	10.241234	7.589144999999999	60.944928	32.985523	127.893728	29.194684	0.8327	8.560136	25.212882	22.848656	9.812883	28.118633000000003	80.86339699999999	31.226719	56.661283	99.845009
33.290355	291.470027	188.357788	1.490173	7.562399	25.52135	3.668419	31.487084000000003	16.592093	77.116837	14.161991	149.703033	96.536558	46.819954	7.319114999999999	226.308775	16.811246	39.636079	56.055413	2.194028	58.277912	159.162014	325.339752	79.451128	13.183053	7.15601	88.49489200000001	31.233005	120.291208	30.386376	2.618981	8.797343	18.5609	21.378388	10.874733	10.489283	81.045994	35.490513	45.285569	100.726036
36.175746	280.1357	185.832245	1.44239	7.0952	26.40779	3.475235	33.246026	16.277955	74.377365	14.174635	157.238434	105.209824	43.311426	7.556397	222.61067000000003	16.66041	38.883521	55.94404	1.754313	59.32584	159.791782	340.342621	77.748605	13.060409	6.500272	85.781044	30.465561	117.461915	31.082893	2.219207	9.053008	18.288506	21.373542	10.569561	10.949302	80.079599	36.005974	43.661569	108.164487
51.395286	186.383308	433.238312	6.431098	10.791101	18.224962	3.985535	22.903794	10.227624	61.97646700000001	11.160911	23.541931	125.126085	37.356836	4.70499	100.327117	10.973286	36.18053	64.69026600000001	4.835348000000001	42.591473	138.808759	413.313278	53.17339200000001	10.387445	5.862056	43.483208000000005	22.595519	127.955221	30.344668	0.607544	9.297265	20.242136	19.097743	9.405162	23.567155	88.921399	36.453651	46.164272	107.64058
42.352007	166.919369	375.482666	5.574554	10.062319	21.789458	5.339357	28.75115	11.585186	67.726425	14.340692	26.836277000000003	108.255981	49.049365	6.743941	108.477375	14.622332	47.980963	57.418912	4.458154	58.723572	159.528173	355.387497	64.43794100000001	9.758375	6.150878	58.55644100000001	30.322763	125.453975	26.518806	0.535079	8.23975	25.0424	22.170911	8.862834	26.577713	79.964478	31.175682	52.921586	94.416835
44.30076	173.705313	378.094482	6.210797	10.223814	21.002417	5.129881	28.960073	11.728404	67.60345500000001	13.745806	23.474348000000003	117.806413	45.552452	6.696385	96.811236	13.92504	46.781565	56.190609	4.615435	55.764874	158.60783899999998	374.251541	65.12602700000001	8.968893	6.808191000000001	55.162258	29.753278	129.809707	28.140537	0.524241	8.668495	24.825733	23.264271	9.369266	26.088732	82.19398000000001	32.689509	51.774625	96.325973
44.118390000000005	171.697124	378.30777	1.527642	8.612067	24.065921	6.399723000000001	26.454052	7.338889	17.732813	13.671765	62.36919	117.057528	53.07885400000001	6.419193	162.83901699999998	15.179343	47.90149	64.274355	3.416349	60.16502	141.759293	338.979653	66.206425	11.595658	33.091636	52.590137	30.172031	157.161838	27.485727	2.664941	8.447799	20.639008	20.700893	17.449439	28.15221	75.295466	33.202727	55.877981000000005	73.951504
28.793528	141.55484199999998	297.046082	0.687044	6.741031	26.714316	6.996184	29.438886	7.807975	17.48399	16.022958	73.150986	71.70487299999999	58.567526	7.187874000000001	174.607461	18.438915	53.767807	51.1488	2.114509	69.746452	151.883687	254.248162	72.87507	9.539254	36.950329	62.727321	36.037964	150.04806100000002	20.873241	2.894367	5.362169000000001	23.351286	22.661615	17.208614999999998	28.557305	55.770033	24.354608	62.037877	55.096913
42.321136	177.547055	360.464111	0.8422780000000001	8.02685	24.78729	6.543362	28.240133	7.929239999999999	17.143332	14.560173	71.078468	105.042727	54.902429000000005	7.239377	166.737345	16.853073000000002	51.46821	64.403938	3.499315	65.869698	150.460936	336.67841400000003	70.011374	13.360121	38.706481	59.315206	32.832074	148.334556	26.15217	2.726083	7.620605999999999	22.136599	22.481951	20.006452	27.8232	74.125244	32.709909	58.716937	75.047159
